elapsed_s,event,body_x,body_y,dist,tags_used
23.208,lost,,,,
23.220,lost,,,,
23.232,lost,,,,
23.246,lost,,,,
23.259,lost,,,,
23.272,lost,,,,
23.284,lost,,,,
23.300,lost,,,,
23.313,lost,,,,
23.326,lost,,,,
23.339,lost,,,,
23.353,lost,,,,
23.366,lost,,,,
23.376,lost,,,,
23.389,lost,,,,
23.403,lost,,,,
23.418,lost,,,,
23.431,lost,,,,
23.443,lost,,,,
23.457,lost,,,,
23.471,lost,,,,
23.484,lost,,,,
23.498,lost,,,,
23.511,lost,,,,
23.526,lost,,,,
23.541,lost,,,,
23.555,lost,,,,
23.567,lost,,,,
23.577,lost,,,,
23.587,lost,,,,
23.601,lost,,,,
23.616,lost,,,,
23.628,lost,,,,
23.641,lost,,,,
23.653,lost,,,,
23.665,lost,,,,
23.678,lost,,,,
23.692,lost,,,,
23.705,lost,,,,
23.717,lost,,,,
23.729,lost,,,,
23.743,lost,,,,
23.756,lost,,,,
23.768,lost,,,,
23.781,lost,,,,
23.794,lost,,,,
23.806,lost,,,,
23.817,lost,,,,
23.832,lost,,,,
23.846,lost,,,,
23.858,lost,,,,
23.871,lost,,,,
23.885,lost,,,,
23.898,lost,,,,
23.908,lost,,,,
23.920,lost,,,,
23.934,lost,,,,
23.946,lost,,,,
23.961,lost,,,,
23.974,lost,,,,
23.988,lost,,,,
24.002,lost,,,,
24.014,lost,,,,
24.026,lost,,,,
24.040,lost,,,,
24.055,lost,,,,
24.068,lost,,,,
24.080,lost,,,,
24.092,lost,,,,
24.106,lost,,,,
24.119,lost,,,,
24.130,lost,,,,
24.147,lost,,,,
24.158,lost,,,,
24.169,lost,,,,
24.182,lost,,,,
24.197,lost,,,,
24.210,lost,,,,
24.222,lost,,,,
24.234,lost,,,,
24.248,lost,,,,
24.260,lost,,,,
24.273,lost,,,,
24.285,lost,,,,
24.298,lost,,,,
24.311,lost,,,,
24.326,lost,,,,
24.339,lost,,,,
24.354,lost,,,,
24.366,lost,,,,
24.379,lost,,,,
24.390,lost,,,,
24.404,lost,,,,
24.416,lost,,,,
24.427,lost,,,,
24.439,lost,,,,
24.453,lost,,,,
24.469,lost,,,,
24.482,lost,,,,
24.493,lost,,,,
24.506,lost,,,,
24.520,lost,,,,
24.532,lost,,,,
24.542,lost,,,,
24.557,lost,,,,
24.571,lost,,,,
24.584,lost,,,,
24.596,lost,,,,
24.607,lost,,,,
24.622,lost,,,,
24.635,lost,,,,
24.646,lost,,,,
24.659,lost,,,,
24.673,lost,,,,
24.686,lost,,,,
24.697,lost,,,,
24.709,lost,,,,
24.723,lost,,,,
24.735,lost,,,,
24.747,lost,,,,
24.761,lost,,,,
24.774,lost,,,,
24.787,lost,,,,
24.800,lost,,,,
24.811,lost,,,,
24.825,lost,,,,
24.840,lost,,,,
24.851,lost,,,,
24.862,lost,,,,
24.872,lost,,,,
24.883,lost,,,,
24.897,lost,,,,
24.910,lost,,,,
24.923,lost,,,,
24.937,lost,,,,
24.949,lost,,,,
24.962,lost,,,,
24.975,lost,,,,
24.990,lost,,,,
25.002,lost,,,,
25.013,lost,,,,
25.026,lost,,,,
25.040,lost,,,,
25.052,lost,,,,
25.063,lost,,,,
25.075,lost,,,,
25.089,lost,,,,
25.102,lost,,,,
25.113,lost,,,,
25.124,lost,,,,
25.140,lost,,,,
25.154,lost,,,,
25.168,lost,,,,
25.180,lost,,,,
25.193,lost,,,,
25.205,lost,,,,
25.217,lost,,,,
25.228,lost,,,,
25.239,lost,,,,
25.254,lost,,,,
25.266,lost,,,,
25.276,lost,,,,
25.292,lost,,,,
25.306,lost,,,,
25.318,lost,,,,
25.329,lost,,,,
25.339,lost,,,,
25.354,lost,,,,
25.368,lost,,,,
25.379,lost,,,,
25.391,lost,,,,
25.404,lost,,,,
25.416,lost,,,,
25.427,lost,,,,
25.439,lost,,,,
25.453,lost,,,,
25.465,lost,,,,
25.478,lost,,,,
25.493,lost,,,,
25.506,lost,,,,
25.518,lost,,,,
25.532,lost,,,,
25.546,lost,,,,
25.557,lost,,,,
25.569,lost,,,,
25.583,lost,,,,
25.596,lost,,,,
25.609,lost,,,,
25.622,lost,,,,
25.634,lost,,,,
25.648,lost,,,,
25.659,lost,,,,
25.673,lost,,,,
25.687,lost,,,,
25.702,lost,,,,
25.713,lost,,,,
25.726,lost,,,,
25.739,lost,,,,
25.753,lost,,,,
25.766,lost,,,,
25.778,lost,,,,
25.792,lost,,,,
25.807,lost,,,,
25.818,lost,,,,
25.831,lost,,,,
25.844,lost,,,,
25.858,lost,,,,
25.870,lost,,,,
25.882,lost,,,,
25.894,lost,,,,
25.908,lost,,,,
25.922,lost,,,,
25.933,lost,,,,
25.946,lost,,,,
25.960,lost,,,,
25.974,lost,,,,
25.986,lost,,,,
25.997,lost,,,,
26.010,lost,,,,
26.023,lost,,,,
26.036,lost,,,,
26.048,lost,,,,
26.060,lost,,,,
26.076,lost,,,,
26.089,lost,,,,
26.103,lost,,,,
26.117,lost,,,,
26.129,lost,,,,
26.141,lost,,,,
26.154,lost,,,,
26.168,lost,,,,
26.180,lost,,,,
26.192,lost,,,,
26.205,lost,,,,
26.220,lost,,,,
26.233,lost,,,,
26.245,lost,,,,
26.257,lost,,,,
26.270,lost,,,,
26.283,lost,,,,
26.296,lost,,,,
26.309,lost,,,,
26.323,lost,,,,
26.336,lost,,,,
26.347,lost,,,,
26.361,lost,,,,
26.373,lost,,,,
26.386,lost,,,,
26.401,lost,,,,
26.416,lost,,,,
26.430,lost,,,,
26.442,lost,,,,
26.455,lost,,,,
26.469,lost,,,,
26.483,lost,,,,
26.494,lost,,,,
26.507,lost,,,,
26.522,lost,,,,
26.536,lost,,,,
26.547,lost,,,,
26.559,lost,,,,
26.574,lost,,,,
26.587,lost,,,,
26.598,lost,,,,
26.609,lost,,,,
